shipment_id,carrier,region,shipment_mode,product_category,ship_date,delivery_date,delivery_days,estimated_days,freight_cost_usd,shipment_weight_kg,shipment_value_usd,is_late,is_damaged,delivery_status
SHP_00094,XpressBees,Hyderabad,Air,Consumer Goods,2023-05-10,2023-05-14,4,4,65.04,179.8,245.54,False,False,On Time
SHP_00095,DHL,Kolkata,Ground,Pharma,2023-08-03,2023-08-09,6,3,103.24,416.5,765.79,True,False,Late
SHP_00096,BlueDart,Jaipur,Ground,Food,2023-10-14,2023-10-23,9,6,51.32,377.91,338.96,True,False,Late
SHP_00097,UPS,Delhi,Sea,Pharma,2022-11-13,2022-11-22,9,10,85.86,366.31,218.15,False,False,On Time
SHP_00098,SafeExpress,Kolkata,Air,Food,2022-05-16,2022-05-31,15,8,170.32,136.63,508.79,True,False,Late
SHP_00099,XpressBees,Hyderabad,Sea,Medical Devices,2022-04-28,2022-05-07,9,10,39.78,483.27,284.86,False,False,On Time
SHP_00100,Ecom Express,Surat,Ground,Electronics,2023-02-09,2023-02-13,4,3,81.34,227.67,491.05,True,False,Late
SHP_00101,SpeedPost,Kolkata,Sea,Medical Devices,2022-04-21,2022-05-03,12,6,84.5,442.18,453.63,True,False,Late
SHP_00102,BlueDart,Delhi,Sea,Auto Parts,2022-11-06,2022-11-14,8,9,39.68,473.16,151.82,False,False,On Time
SHP_00103,FedEx,Chennai,Sea,Apparel,2023-02-02,2023-02-13,11,10,95.4,371.7,732.28,True,False,Late
SHP_00104,SafeExpress,Bangalore,Ground,Electronics,2023-05-17,2023-05-29,12,9,85.89,185.58,400.27,True,False,Late
SHP_00105,Delhivery,Delhi,Sea,Medical Devices,2023-07-12,2023-07-19,7,8,66.8,95.31,182.56,False,False,On Time
SHP_00106,XpressBees,Delhi,Sea,Food,2023-10-20,2023-10-22,2,3,107.61,122.16,296.52,False,False,On Time
SHP_00107,FedEx,Surat,Air,Food,2022-08-27,2022-09-04,8,8,107.81,298.19,394.98,False,False,On Time
SHP_00108,UPS,Surat,Ground,Apparel,2022-04-23,2022-04-26,3,3,26.56,395.1,91.04,False,False,On Time
SHP_00109,UPS,Hyderabad,Air,Apparel,2023-03-08,2023-03-11,3,4,75.01,389.12,381.01,False,False,On Time
SHP_00110,Amazon Logistics,Chennai,Sea,Pharma,2023-11-06,2023-11-15,9,7,92.55,16.06,739.62,True,False,Late
SHP_00111,Ecom Express,Delhi,Ground,Auto Parts,2022-03-17,2022-03-22,5,4,88.87,33.31,324.38,True,False,Late
SHP_00112,Amazon Logistics,Pune,Ground,Industrial,2023-04-10,2023-04-18,8,9,108.28,57.65,641.91,False,False,On Time
SHP_00113,Amazon Logistics,Chennai,Ground,Auto Parts,2022-08-22,2022-09-01,10,9,111.88,199.67,713.53,True,False,Late
SHP_00114,Delhivery,Hyderabad,Ground,Apparel,2023-05-01,2023-05-04,3,4,112.34,47.07,289.77,False,False,On Time
SHP_00115,UPS,Surat,Air,Medical Devices,2023-11-18,2023-11-24,6,4,62.13,332.84,403.95,True,False,Late
SHP_00116,SafeExpress,Mumbai,Ground,Industrial,2022-12-27,2023-01-08,12,4,171.33,77.79,838.34,True,False,Late
SHP_00117,Delhivery,Surat,Ground,Electronics,2022-10-13,2022-10-21,8,6,113.74,487.29,786.01,True,False,Late
SHP_00118,Gati,Surat,Air,Industrial,2022-01-30,2022-02-07,8,5,206.49,154.84,834.0,True,True,Late
SHP_00119,UPS,Jaipur,Sea,Consumer Goods,2022-03-13,2022-03-17,4,5,34.63,265.48,147.43,False,False,On Time
SHP_00120,UPS,Pune,Ground,Medical Devices,2023-08-05,2023-08-08,3,4,41.34,377.34,95.02,False,False,On Time
SHP_00121,XpressBees,Kolkata,Ground,Auto Parts,2023-03-01,2023-03-08,7,7,104.27,57.35,477.5,False,False,On Time
SHP_00122,Gati,Jaipur,Ground,Industrial,2022-02-16,2022-02-27,11,6,257.2,27.86,829.87,True,False,Late
SHP_00123,UPS,Hyderabad,Ground,Medical Devices,2022-05-03,2022-05-08,5,3,103.44,88.26,442.85,True,False,Late
SHP_00124,Amazon Logistics,Surat,Sea,Medical Devices,2022-03-15,2022-03-23,8,9,70.8,230.15,174.68,False,False,On Time
SHP_00125,Ecom Express,Jaipur,Ground,Consumer Goods,2022-10-24,2022-10-30,6,4,27.19,162.72,185.11,True,False,Late
SHP_00126,SafeExpress,Pune,Air,Consumer Goods,2022-04-19,2022-04-30,11,6,186.0,262.22,813.68,True,False,Late
SHP_00127,Delhivery,Chennai,Ground,Apparel,2022-03-20,2022-03-27,7,4,78.54,453.01,321.72,True,False,Late
SHP_00128,Gati,Bangalore,Air,Electronics,2022-05-30,2022-06-08,9,7,111.23,76.86,729.1,True,False,Late
SHP_00129,Gati,Ahmedabad,Ground,Auto Parts,2023-11-29,2023-12-11,12,8,107.17,34.61,498.69,True,False,Late
SHP_00130,DTDC,Jaipur,Air,Medical Devices,2023-06-04,2023-06-11,7,4,163.11,19.28,687.09,True,False,Late
SHP_00131,Gati,Delhi,Sea,Consumer Goods,2023-04-19,2023-04-28,9,3,243.63,286.04,762.42,True,False,Late
SHP_00132,Amazon Logistics,Bangalore,Air,Auto Parts,2022-04-16,2022-04-23,7,8,77.98,86.69,271.87,False,False,On Time
SHP_00133,XpressBees,Surat,Sea,Apparel,2023-01-08,2023-01-17,9,8,65.68,387.35,398.9,True,False,Late
SHP_00134,Gati,Pune,Air,Medical Devices,2022-04-07,2022-04-19,12,9,125.36,425.86,976.11,True,False,Late
SHP_00135,UPS,Pune,Air,Apparel,2022-12-25,2023-01-03,9,7,38.54,354.56,96.67,True,False,Late
SHP_00136,Gati,Pune,Air,Electronics,2023-10-24,2023-11-09,16,9,145.13,181.62,447.23,True,False,Late
SHP_00137,XpressBees,Chennai,Air,Apparel,2022-06-08,2022-06-13,5,4,113.66,51.02,753.03,True,False,Late
SHP_00138,Amazon Logistics,Mumbai,Sea,Medical Devices,2023-09-25,2023-10-03,8,5,64.56,81.54,451.15,True,False,Late
SHP_00139,UPS,Ahmedabad,Air,Consumer Goods,2023-01-09,2023-01-17,8,6,89.11,376.32,597.29,True,False,Late
SHP_00140,BlueDart,Hyderabad,Ground,Food,2023-01-12,2023-01-24,12,10,105.79,389.17,530.79,True,False,Late
SHP_00141,UPS,Chennai,Sea,Apparel,2022-09-14,2022-09-19,5,3,116.78,277.49,305.44,True,False,Late
SHP_00142,FedEx,Hyderabad,Air,Apparel,2022-10-07,2022-10-20,13,10,40.47,219.02,310.75,True,False,Late
SHP_00143,XpressBees,Pune,Air,Consumer Goods,2022-02-24,2022-03-08,12,9,64.27,193.39,160.01,True,False,Late
SHP_00144,Delhivery,Delhi,Sea,Medical Devices,2022-05-30,2022-06-03,4,5,55.12,414.97,340.44,False,False,On Time
SHP_00145,SafeExpress,Ahmedabad,Ground,Pharma,2022-03-23,2022-03-29,6,3,118.82,75.19,907.95,True,False,Late
SHP_00146,Ecom Express,Delhi,Ground,Food,2022-11-05,2022-11-08,3,4,50.04,319.66,287.07,False,False,On Time
SHP_00147,XpressBees,Jaipur,Sea,Pharma,2023-10-10,2023-10-16,6,6,55.58,1.28,228.82,False,False,On Time
SHP_00148,UPS,Delhi,Sea,Medical Devices,2022-03-11,2022-03-16,5,3,116.7,22.25,504.29,True,False,Late
SHP_00149,SafeExpress,Mumbai,Ground,Electronics,2022-12-20,2022-12-26,6,6,218.87,367.73,874.41,False,True,On Time
SHP_00150,Amazon Logistics,Pune,Sea,Apparel,2023-04-21,2023-05-01,10,10,110.21,32.02,733.68,False,False,On Time
SHP_00151,DTDC,Chennai,Air,Food,2022-02-12,2022-02-23,11,8,172.77,494.57,908.46,True,False,Late
SHP_00152,Gati,Chennai,Ground,Medical Devices,2022-02-18,2022-03-01,11,8,102.41,184.33,751.37,True,False,Late
SHP_00153,Ecom Express,Pune,Air,Auto Parts,2023-05-25,2023-06-05,11,8,53.01,41.76,241.04,True,False,Late
SHP_00154,UPS,Surat,Ground,Medical Devices,2022-04-16,2022-04-21,5,4,94.4,153.59,530.12,True,False,Late
SHP_00155,SafeExpress,Ahmedabad,Ground,Auto Parts,2022-02-13,2022-03-01,16,8,259.67,137.64,2046.24,True,False,Late
SHP_00156,FedEx,Kolkata,Ground,Apparel,2022-02-01,2022-02-09,8,5,96.2,219.37,265.26,True,False,Late
SHP_00157,Gati,Pune,Ground,Consumer Goods,2023-08-04,2023-08-15,11,3,107.62,225.24,454.78,True,False,Late
SHP_00158,FedEx,Jaipur,Air,Medical Devices,2023-02-12,2023-02-21,9,8,51.21,57.17,328.46,True,False,Late
SHP_00159,Ecom Express,Surat,Air,Industrial,2022-09-24,2022-10-04,10,10,129.62,143.15,972.0,False,False,On Time
SHP_00160,FedEx,Bangalore,Air,Auto Parts,2022-06-26,2022-07-05,9,10,110.1,483.8,871.93,False,False,On Time
SHP_00161,SafeExpress,Delhi,Sea,Industrial,2022-11-04,2022-11-10,6,5,222.87,254.62,608.03,True,False,Late
SHP_00162,UPS,Chennai,Ground,Pharma,2023-01-05,2023-01-15,10,8,109.38,276.05,620.37,True,False,Late
SHP_00163,DTDC,Kolkata,Sea,Auto Parts,2023-06-23,2023-07-07,14,9,228.2,37.34,1787.78,True,False,Late
SHP_00164,XpressBees,Ahmedabad,Sea,Medical Devices,2022-05-12,2022-05-17,5,5,70.42,455.4,164.25,False,False,On Time
SHP_00165,UPS,Hyderabad,Air,Apparel,2022-11-27,2022-12-04,7,6,124.49,259.69,461.15,True,False,Late
SHP_00166,BlueDart,Surat,Ground,Apparel,2023-10-03,2023-10-13,10,7,81.02,251.54,244.02,True,False,Late
SHP_00167,UPS,Bangalore,Sea,Medical Devices,2023-08-01,2023-08-03,2,3,33.53,474.3,222.17,False,False,On Time
SHP_00168,BlueDart,Jaipur,Ground,Pharma,2023-05-25,2023-06-02,8,7,75.71,402.44,462.58,True,False,Late
SHP_00169,FedEx,Mumbai,Air,Auto Parts,2023-03-02,2023-03-14,12,10,46.42,303.53,179.9,True,False,Late
SHP_00170,SafeExpress,Pune,Ground,Apparel,2023-01-15,2023-01-23,8,4,123.51,61.7,580.2,True,False,Late
SHP_00171,DHL,Hyderabad,Ground,Consumer Goods,2022-09-12,2022-09-18,6,5,123.04,360.7,386.22,True,False,Late
SHP_00172,Amazon Logistics,Ahmedabad,Ground,Industrial,2023-05-25,2023-05-27,2,3,124.25,252.97,969.16,False,False,On Time
SHP_00173,Delhivery,Mumbai,Air,Industrial,2023-05-22,2023-06-02,11,10,81.35,423.66,373.04,True,False,Late
SHP_00174,SafeExpress,Pune,Ground,Medical Devices,2022-02-16,2022-02-24,8,9,182.65,97.73,971.58,False,False,On Time
SHP_00175,Amazon Logistics,Ahmedabad,Sea,Industrial,2023-10-01,2023-10-05,4,4,127.38,197.25,862.28,False,False,On Time
SHP_00176,Delhivery,Bangalore,Air,Consumer Goods,2023-05-28,2023-05-30,2,3,29.09,356.94,198.5,False,False,On Time
SHP_00177,UPS,Jaipur,Sea,Apparel,2022-12-02,2022-12-10,8,8,66.26,308.44,467.5,False,False,On Time
SHP_00178,Amazon Logistics,Surat,Sea,Auto Parts,2023-07-31,2023-08-09,9,7,110.65,184.49,668.64,True,False,Late
SHP_00179,SpeedPost,Hyderabad,Sea,Pharma,2023-09-04,2023-09-17,13,10,254.07,391.56,1691.34,True,False,Late
SHP_00180,SafeExpress,Mumbai,Sea,Auto Parts,2022-06-24,2022-07-04,10,9,227.9,121.48,1238.73,True,False,Late
SHP_00181,BlueDart,Mumbai,Ground,Medical Devices,2023-03-05,2023-03-12,7,5,97.5,205.48,648.36,True,False,Late
SHP_00182,SafeExpress,Mumbai,Sea,Apparel,2023-06-16,2023-06-29,13,6,138.51,331.28,713.72,True,False,Late
SHP_00183,UPS,Ahmedabad,Sea,Medical Devices,2023-07-14,2023-07-23,9,8,89.06,96.54,309.85,True,False,Late
SHP_00184,BlueDart,Hyderabad,Ground,Food,2023-05-16,2023-05-26,10,8,61.62,466.88,417.32,True,False,Late
SHP_00185,FedEx,Jaipur,Sea,Consumer Goods,2023-02-09,2023-02-17,8,8,55.5,144.17,348.81,False,False,On Time
SHP_00186,XpressBees,Hyderabad,Sea,Auto Parts,2022-08-08,2022-08-17,9,6,53.47,281.23,194.08,True,False,Late
SHP_00187,SafeExpress,Jaipur,Air,Food,2022-02-21,2022-03-01,8,6,89.45,206.94,563.91,True,False,Late
SHP_00188,UPS,Mumbai,Sea,Apparel,2023-02-21,2023-03-05,12,10,93.31,378.08,347.44,True,False,Late
SHP_00189,DHL,Delhi,Sea,Food,2023-07-02,2023-07-05,3,3,68.88,418.88,523.73,False,False,On Time
SHP_00190,Ecom Express,Ahmedabad,Air,Industrial,2022-02-08,2022-02-12,4,3,84.64,54.1,668.48,True,False,Late
SHP_00191,Gati,Surat,Sea,Auto Parts,2022-05-18,2022-05-31,13,10,114.71,56.77,341.26,True,False,Late
SHP_00192,DTDC,Bangalore,Air,Medical Devices,2022-10-30,2022-11-06,7,6,189.97,319.54,842.13,True,False,Late
SHP_00193,Delhivery,Delhi,Ground,Electronics,2022-07-09,2022-07-16,7,5,58.98,124.4,210.25,True,False,Late
SHP_00194,DTDC,Pune,Ground,Pharma,2022-09-25,2022-10-05,10,8,91.18,59.55,350.21,True,False,Late
SHP_00195,Amazon Logistics,Hyderabad,Sea,Electronics,2023-10-17,2023-10-25,8,7,89.54,109.95,250.84,True,False,Late
SHP_00196,SafeExpress,Jaipur,Ground,Consumer Goods,2023-07-17,2023-08-03,17,10,224.36,412.89,1474.3,True,False,Late
SHP_00197,SpeedPost,Delhi,Sea,Auto Parts,2023-06-25,2023-07-03,8,8,245.1,56.55,1709.0,False,False,On Time
SHP_00198,BlueDart,Jaipur,Sea,Apparel,2022-06-18,2022-06-29,11,8,71.39,340.31,449.86,True,False,Late
SHP_00199,Amazon Logistics,Ahmedabad,Air,Auto Parts,2022-05-16,2022-05-27,11,9,84.21,279.62,508.34,True,False,Late
SHP_00200,DHL,Kolkata,Ground,Pharma,2022-08-12,2022-08-15,3,4,69.49,350.34,364.61,False,False,On Time
SHP_00201,FedEx,Ahmedabad,Air,Industrial,2023-02-23,2023-02-28,5,5,105.41,489.18,619.31,False,False,On Time
SHP_00202,Ecom Express,Ahmedabad,Ground,Consumer Goods,2022-03-24,2022-03-30,6,5,37.46,496.43,163.26,True,False,Late
SHP_00203,BlueDart,Mumbai,Air,Industrial,2023-04-20,2023-05-02,12,9,64.82,115.22,308.79,True,False,Late
SHP_00204,BlueDart,Delhi,Air,Consumer Goods,2023-09-22,2023-09-25,3,3,46.64,50.9,102.68,False,False,On Time
SHP_00205,SafeExpress,Mumbai,Air,Pharma,2023-02-16,2023-02-28,12,10,177.16,377.32,1179.24,True,False,Late
SHP_00206,DTDC,Chennai,Sea,Medical Devices,2023-08-15,2023-08-25,10,8,134.32,72.06,800.72,True,False,Late
SHP_00207,DTDC,Hyderabad,Air,Apparel,2023-10-04,2023-10-20,16,9,169.21,486.16,1294.38,True,False,Late
SHP_00208,Amazon Logistics,Pune,Sea,Consumer Goods,2023-02-23,2023-03-01,6,5,64.53,377.33,312.4,True,False,Late
SHP_00209,DTDC,Bangalore,Ground,Pharma,2023-07-30,2023-08-13,14,9,180.31,67.48,623.36,True,False,Late
SHP_00210,Gati,Delhi,Ground,Medical Devices,2022-04-05,2022-04-10,5,6,128.32,337.0,720.84,False,False,On Time
SHP_00211,BlueDart,Jaipur,Sea,Food,2023-05-06,2023-05-13,7,6,56.83,454.54,185.88,True,False,Late
